2020-01-11	0	0
2020-01-14	1	0
2020-01-15	1	0
2020-01-23	1	0
2020-01-24	2	0
2020-01-25	3	0
2020-01-26	4	0
2020-01-28	7	0
2020-01-29	11	0
2020-01-30	14	0
2020-01-31	17	0
2020-02-01	20	0
2020-02-02	20	0
2020-02-03	20	0
2020-02-04	23	0
2020-02-05	25	0
2020-02-06	25	0
2020-02-07	25	0
2020-02-08	25	0
2020-02-09	26	0
2020-02-10	26	0
2020-02-11	28	0
2020-02-12	29	0
2020-02-13	33	1
2020-02-14	41	1
2020-02-15	53	1
2020-02-16	59	1
2020-02-17	65	1
2020-02-18	72	1
2020-02-19	73	1
2020-02-20	93	1
2020-02-21	105	1
2020-02-22	132	1
2020-02-23	144	1
2020-02-24	156	1
2020-02-25	157	1
2020-02-26	186	3
2020-02-27	187	4
2020-02-28	210	5
2020-02-29	238	5
2020-03-01	239	6
2020-03-02	268	6
2020-03-03	284	6
2020-03-04	287	6
2020-03-05	349	6
2020-03-06	349	6
2020-03-07	407	6
2020-03-08	455	6
2020-03-09	514	9
2020-03-10	514	9
2020-03-11	568	12
2020-03-12	620	15
2020-03-13	675	19
2020-03-14	780	22
2020-03-15	780	22
2020-03-16	814	24
2020-03-17	829	28
2020-03-18	873	29
2020-03-19	950	33
2020-03-20	996	35
2020-03-21	1046	36
2020-03-22	1046	36
2020-03-23	1089	41
2020-03-24	1128	42
2020-03-25	1193	43
2020-03-26	1291	45
2020-03-27	1387	46
2020-03-28	1499	49
2020-03-29	1693	52
2020-03-30	1866	54
2020-03-31	1953	56
2020-04-01	2178	57
2020-04-02	2384	57
2020-04-03	2617	65
2020-04-04	2935	69
2020-04-05	3271	70
2020-04-06	3654	73
2020-04-07	3906	80
2020-04-08	4257	81
2020-04-09	4768	85
2020-04-10	5347	88
2020-04-11	6005	94
2020-04-12	6748	98
2020-04-13	7255	102
2020-04-14	7645	132	109
2020-04-15	8100	147	119
2020-04-16	8582	170	136
2020-04-17	9167	185	148
2020-04-18	9795	198	154
2020-04-19	10361	210	161
2020-04-20	10751	223	171
2020-04-21	11119	244	186
2020-04-22	11496	277
2020-04-23	11919	287
2020-04-24	12388	317
2020-04-25	12829	334
2020-04-26	13182	348
2020-04-27	13385	351
2020-04-28	13576	376
2020-04-29	13852	389
2020-04-30	14088	415
2020-05-01	14281	432
2020-05-02	14545	454
2020-05-03	14839	492
2020-05-04	15057	510
2020-05-05	15231	521
2020-05-06	15354	543
2020-05-07	15463	551
